,Title,Author,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelf
202,"Molecular Biology of the Cell, Fifth Edition: The Problems Book",John Wilson,0,4.17,588.0,2007.0,1994.0,,2021/07/09,bilim-kitaplığı
203,"The Removable Root Cause of Cancers and other Chronic Diseases : The Effort Theory of Evolution, Chronic Diseases and Extinction",Paul Ola,0,3.65,171.0,2020.0,,,2021/07/09,bilim-kitaplığı
204,Molecular Cell Biology,Harvey F. Lodish,0,4.11,973.0,2003.0,1992.0,,2021/07/09,bilim-kitaplığı
205,Biocode: The New Age of Genomics,Dawn Field,0,3.66,210.0,2015.0,2015.0,,2021/07/09,bilim-kitaplığı
206,Büyük Saat - Bütün Şiirleri,Turgut Uyar,0,4.6,725.0,2014.0,2002.0,,2021/07/05,to-read
207,Göğe Bakma Durağı (Seçme Şiirler),Turgut Uyar,0,4.13,112.0,2014.0,2008.0,,2021/07/05,to-read
208,Hamlet - Hasan Ali Yücel Klasikler Dizisi(Paperback),William Shakespeare,3,4.02,185.0,2016.0,1601.0,2021/07/02,2021/06/27,read
209,"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,4,4.2,250.0,2005.0,1980.0,2021/06/29,2021/05/04,read
210,Önemsiz Bir Kadın,Oscar Wilde,0,3.86,104.0,2016.0,1893.0,,2021/06/27,to-read
211,Not I,Samuel Beckett,0,4.03,16.0,1973.0,1973.0,,2021/06/17,to-read
212,Gen Bencildir,Richard Dawkins,0,4.16,329.0,1995.0,1976.0,,2021/06/17,to-read
213,Sevilla Berberi veya Nafile Tedbir,Pierre-Augustin Caron de Beaumarchais,3,3.68,128.0,2019.0,1775.0,2021/06/16,2021/06/02,read
214,"La sombra del viento (El cementerio de los libros olvidados, #1)",Carlos Ruiz Zafón,0,4.3,478.0,2006.0,2001.0,,2021/06/10,to-read
215,"A History of Western Philosophy Vol. III/VI (A History of Western Philosophy, #3)",Bertrand Russell,0,4.5,,,,,2021/06/09,to-read
216,"A History of Western Philosophy Vol. II/VI (A History of Western Philosophy, #2)",Bertrand Russell,0,4.33,,,,,2021/06/09,to-read
217,I Am Legend,Richard Matheson,0,4.06,162.0,2011.0,1954.0,,2021/06/08,to-read
218,The Character of Physical Law,Richard P. Feynman,3,4.3,192.0,1994.0,1964.0,2021/06/03,2021/05/07,read
219,Memories of My Melancholy Whores,Gabriel García Márquez,0,3.58,115.0,2006.0,2004.0,,2021/05/31,to-read
220,Safsatalar,Tevfik Uyar,4,4.19,256.0,2019.0,2019.0,2021/05/30,2021/04/27,read
221,Monte Cristo Kontu #1,Alexandre Dumas,0,4.53,760.0,2018.0,1844.0,,2021/05/27,to-read
222,Filth,Irvine Welsh,0,3.81,393.0,1998.0,1998.0,,2021/05/20,to-read
223,What Is Life? with Mind and Matter and Autobiographical Sketches,Erwin Schrödinger,0,4.13,184.0,1992.0,1944.0,,2021/05/18,to-read
224,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,0,4.3,777.0,1999.0,1979.0,,2021/05/15,to-read
225,The Double Helix,James D. Watson,0,3.84,143.0,1969.0,1968.0,,2021/05/11,to-read
226,The Etymologicon: A Circular Stroll through the Hidden Connections of the English Language,Mark Forsyth,0,4.23,252.0,2011.0,2011.0,,2021/05/10,to-read
227,Mutlu Olma Sanatı,Bertrand Russell,0,4.02,192.0,2013.0,1930.0,,2021/05/10,to-read
228,Conjectures and Refutations: The Growth of Scientific Knowledge (Routledge Classics),Karl Popper,0,4.19,608.0,2002.0,1963.0,,2021/05/10,to-read
229,"Memed, My Hawk (İnce Memed, #1)",Yaşar Kemal,0,4.49,372.0,2005.0,1955.0,,2021/05/07,to-read
230,Animal Farm,George Orwell,4,4.0,141.0,1996.0,1945.0,2021/05/05,2020/03/27,read
231,Tercüme-i Mukaddime-i İbn Haldûn,İbn Haldun,0,4.78,1604.0,2015.0,,,2021/05/04,to-read
232,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4,4.23,193.0,2007.0,1979.0,2021/05/04,2021/05/02,read
233,Beyond Good and Evil,Friedrich Nietzsche,0,4.03,240.0,2003.0,1886.0,,2021/05/02,bu-neymiş-ki
234,The Basic Writings of Bertrand Russell (Routledge Classics),Bertrand Russell,0,4.38,786.0,,1959.0,,2021/04/27,to-read
235,Foucault’s Pendulum,Umberto Eco,0,3.91,623.0,2007.0,1988.0,,2021/04/23,bu-neymiş-ki
236,When Nietzsche Wept,Irvin D. Yalom,0,4.36,310.0,2003.0,1992.0,,2021/04/23,to-read
237,Hazzın Bilimi: Sevdiğimiz Şeyleri Neden Severiz?,Paul Bloom,0,3.71,320.0,2012.0,2010.0,,2021/04/23,bu-neymiş-ki
238,The Picture of Dorian Gray,Oscar Wilde,3,4.13,272.0,2004.0,1890.0,2021/04/23,2020/03/27,read
239,Beyaz Zambaklar Ülkesinde,Grigory Petrov,4,4.2,175.0,2010.0,1923.0,2021/04/21,2020/12/24,read
240,Dede Korkut Hikâyeleri – Kitab-ı Dedem Korkut,Anonymous,0,3.91,208.0,2018.0,1450.0,,2021/04/21,to-read
241,"Karanlığın Sol Eli (Hainish Döngüsü, #4)",Ursula K. Le Guin,0,4.1,304.0,1993.0,1969.0,,2021/04/20,to-read
242,Eminim Şaka Yapıyorsunuz Bay Feynman!,Richard P. Feynman,0,4.27,346.0,2013.0,1985.0,,2021/04/19,to-read
243,Nonsense on Stilts: How to Tell Science from Bunk,Massimo Pigliucci,0,3.91,338.0,2010.0,2008.0,,2021/04/17,bu-neymiş-ki
244,Karanlık Bir Dünyada Bilimin Mum Işığı,Carl Sagan,0,4.29,472.0,2006.0,1995.0,,2021/04/17,to-read
245,İlahi Komedya,Dante Alighieri,0,4.08,382.0,2003.0,1320.0,,2021/04/17,to-read
246,Beyindeki Hayaletler - İnsan Zihninin Gizemlerine Doğru,V.S. Ramachandran,0,4.26,326.0,2011.0,1998.0,,2021/04/17,to-read
247,The Prince,Niccolò Machiavelli,0,3.84,144.0,2014.0,1513.0,,2021/04/17,to-read
248,SPQR: A History of Ancient Rome,Mary Beard,0,4.06,606.0,2016.0,2015.0,,2021/04/17,to-read
249,Küçük Prens,Antoine de Saint-Exupéry,5,4.33,95.0,2013.0,1943.0,2021/04/14,2021/03/25,read
250,Dracula,Bram Stoker,0,4.02,488.0,1986.0,1897.0,,2020/03/28,to-read
251,Sophie’s Choice,William Styron,0,4.17,562.0,1992.0,1979.0,,2021/04/14,to-read
252,Fahrenheit 451,Ray Bradbury,4,3.96,194.0,2011.0,1953.0,2021/04/13,2020/03/28,read
253,"Moby-Dick or, The Whale",Herman Melville,0,3.55,720.0,2003.0,1851.0,,2021/04/13,to-read
254,Vakıf,Isaac Asimov,4,4.17,300.0,2017.0,1951.0,2021/04/08,2021/03/31,read
255,Etika,Baruch Spinoza,0,4.11,342.0,2014.0,1677.0,,2021/04/06,to-read
